ワシントン	アメリカ/米国/べいこく
ロンドン	イギリス/英国/えいこく
エルサレム	イスラエル
ローマ	イタリア
バグダード	イラク
ジャカルタ	インドネシア
キャンベラ	オーストラリア
東京	日本/にっぽん
北京	中国/ちゅうごく
パリ	フランス
ハノイ	ベトナム
ソウル	韓国/かんこく
モスクワ	ロシア
ベルリン	ドイツ
オタワ	カナダ
ブラジリア	ブラジル
アムステルダム	オランダ
バルセロナ	スペイン
マニラ	フィリピン
カイロ	エジプト
ブダペスト	ハンガリー
コペンハーゲン	デンマーク
テヘラン	イラン
ベルン	スイス
シンガポール	シンガポール
メキシコシティ	メキシコ
ストックホルム	スウェーデン
アンカラ	トルコ
ワルシャワ	ポーランド
ウェリントン	ニュージーランド
ブリュッセル	ベルギー
アテネ	ギリシャ
イスラマバード	パキスタン
クアラルンプール	マレーシア
ブエノスアイレス	アルゼンチン
ウランバートル	モンゴル
ダブリン	アイルランド
プノンペン	カンボジア
バンコク	タイ
アテネ	ギリシア
ヘルシンキ	フィンランド
エディンバラ	スコットランド
リマ	ペルー
オスロ	ノルウェー
ソフィア	ブルガリア
カトマンズ	ネパール
ダッカ	バングラデシュ
ラバト	モロッコ
ブカレスト	ルーマニア
ナイロビ	ケニア
