アンデルセン	作家/さっか/詩人/しじん/童話作家/どうわさっか
アリストテレス	哲学者/てつがくしゃ
バルザック	小説家/しょうせつか/作家/さっか
ベートーベン	作曲家/さっきょくか
シーザー	政治家/せいじか/軍人/ぐんじん/文筆家/ぶんぴついえ
コロンブス	探検家/たんけんいえ/航海者/こうかいもの
孔子	哲学者/てつがくしゃ/思想家/しそうか
ダンテ	詩人/しじん/哲学者/てつがくしゃ
ダーウィン	自然科学者/しぜんかがくもの/生物学者/せいぶつがくしゃ/地質学者/ちしつがくもの
デカルト	数学者/すうがくしゃ/哲学者/てつがくしゃ
ディケンズ	小説家/しょうせつか/作家/さっか/評論家/ひょうろんか/著者/ちょしゃ
ヒューム	哲学者/てつがくしゃ/政治家/せいじか
エジソン	発明家/はつめいか/企業化/きぎょうか
アインシュタイン	物理学者/ぶつりがくしゃ/理論物理学者/りろんぶつりがくもの
ゲーテ	詩人/しじん/劇作家/げきさっか/小説家/しょうせつか/作家/さっか/自然科学者/しぜんかがくもの
ホーキング	理論物理学者/りろんぶつりがくもの
ヘーゲル	哲学者/てつがくしゃ
ヒトラー	独裁者/どくさいしゃ/政治家/せいじか/ナチス
リンカーン	大統領/だいとうりょう
マルクス	哲学者/てつがくしゃ/共産主義者/きょうさんしゅぎしゃ
マックスウェル	物理学者/ぶつりがくしゃ
孟子	哲学者/てつがくしゃ
ミケランジェロ	彫刻家/ちょうこくか/画家/がか/建築家/けんちくか/詩人/しじん
モーゼ	民族指導者/みんぞくしどうしゃ/預言者/よげんもの
モーツァルト	作曲家/さっきょくか
ナポレオン	皇帝/こうてい/政治家/せいじか/指揮官/しきかん
ピカソ	画家/がか/素描家/そびょういえ/彫刻家/ちょうこくか
プラトン	哲学者/てつがくしゃ
バッハ	作曲家/さっきょくか
レンブラント	画家/がか
シュワルツェネッガー	俳優/はいゆう/政治家/せいじか/知事/ちじ
シェイクスピア	劇作家/げきさっか/詩人/しじん
ブッシュ	大統領/だいとうりょう
スターリン	独裁者/どくさいしゃ/政治家/せいじか/リーダー
ルソー	哲学者/てつがくしゃ/政治哲学者/せいじてつがくもの/作家/さっか
米倉	女優/じょゆう/モデル
トルーマン	政治家/せいじか/大統領/だいとうりょう
ショパン	作曲家/さっきょくか
ブルックナー	作曲家/さっきょくか/オルガニスト
三島	作家/さっか
レノン	ミュージシャン
パスカル	哲学者/てつがくしゃ/自然科学者/しぜんかがくもの/思想家/しそうか/数学者/すうがくしゃ
ノストラダムス	医師/いし/占星術師/せんせいじゅつし
モネ	画家/がか
ハイデガー	哲学者/てつがくしゃ
ドストエフスキー	小説家/しょうせつか/思想家/しそうか
レーガン	俳優/はいゆう/政治家/せいじか/知事/ちじ/大統領/だいとうりょう
デュシャン	美術家/びじゅつか/画家/がか/彫刻家/ちょうこくか
ヘミングウェイ	小説家/しょうせつか/詩人/しじん
ニュートン	自然学者/しぜんがくもの/数学者/すうがくしゃ/物理学者/ぶつりがくしゃ/天文学者/てんもんがくしゃ
