ドキドキ	緊張/きんちょう/恐怖/きょうふ
わくわく	興奮/こうふん
ワクワク	興奮/こうふん
いやいや	不愉快/ふゆかい/不快/ふかい
がっかり	落胆/らくたん
ニコニコ	微笑み/ほほえみ/笑い/わらい
ペラペラ	流暢/りゅうちょう
ペコペコ	空腹/くうふく
ラブラブ	愛情/あいじょう
くよくよ	心配/しんぱい/不安/ふあん/悩み/なやみ
ウキウキ	幸せ/しあわせ/幸福/こうふく
もやもや	辛気/しんき/不安/ふあん
ピリピリ	緊張/きんちょう
イライラ	嫌悪/けんお/怒り/いかり
しくしく	悲しみ/かなしみ
ホクホク	喜び/よろこび
ムカムカ	怒り/いかり
うずうず	興奮/こうふん
ゴタゴタ	面倒/めんどう
オロオロ	混乱/こんらん/驚き/おどろき
プンプン	怒り/いかり
いそいそ	喜び/よろこび
おちおち	不安/ふあん
そわそわ	不安/ふあん/興奮/こうふん
しんみり	悲しみ/かなしみ
こんこん	怒り/いかり
カンカン	激怒/げきど
ムラムラ	立腹/りっぷく
つんと	不機嫌/ふきげん
ガミガミ	怒り/いかり/腹立ち/はらだち
もじもじ	照れ/てれ
はっと	驚き/おどろき
ぎょっと	驚き/おどろき/緊張/きんちょう
がくがく	大驚き/だいおどろき
ガクガク	大驚き/だいおどろき
チクチク	悲しみ/かなしみ/苦しみ/くるしみ
ニタニタ	笑顔/えがお
くすくす	笑い声/わらいこえ
ブルブル	恐怖/きょうふ
うじうじ	尻込み/しりごみ
ハラハラ	心配/しんぱい/恐怖/きょうふ
しんみり	悲しみ/かなしみ/落ち込み/おちこみ
すっきり	爽快/そうかい
さっぱり	安心/あんしん
らくらく	安心/あんしん/簡単/かんたん
ボロボロ	悲しみ/かなしみ
めそめそ	悲しみ/かなしみ/泣き声/なきこえ
メソメソ	悲しみ/かなしみ/泣き声/なきこえ
おいおい	泣き声/なきこえ
うっとり	惚れ/ほれ
