アリ	茶色/ちゃいろ/黒/くろ/赤/あか
あざ	青/あお/赤/あか
馬	茶色/ちゃいろ/黒/くろ/白/しろ
海	青/あお/緑色/りょくしょく/赤色/せきしょく/藍色/あいしょく
お茶	黄色/きいろ/緑色/りょくしょく
カエル	黄色/きいろ/黃緑色/りょくしょく/緑色
カラス	黒/くろ/黒い/くろい
紙	白/しろ/真っ白/まっしろ/黄色/きいろ/色/しょく
髪の毛	黒/くろ/茶色/ちゃいろ/金髪/きんぱつ/ゴールド/灰色/はいいろ/シルバー/紫/むらさき
カリフラワー	白色/はくしょく/クリーム色/クリームしょく
菊	白/しろ/白色/はくしょく/黄色/きいろ/淡色/たんしょく/濃紫色/のうむらさきいろ
キャベツ	緑/みどり/緑色/りょくしょく/紫色/むらさきいろ
キュウリ	緑色/りょくしょく/緑黄色/みどりきいろ
牛乳	白い/しろい
雲	白色/はくしょく/灰色/はいいろ
クリーム	黄白色/きはくしょく/白色/はくしょく/クリーム色/クリームしょく
コーヒー	黒/くろ/ブラック
紅茶	紅色/べにいろ/水色/みずいろ/琥珀色/こはくいろ/濃橙色/のうだいだいしょく/金色/きんいろ
さくら	ピンク/白色/はくしょく/淡紅色/たんべにいろ/濃紅色/のうべにいろ
砂糖	白い/しろい/ブラウン/茶色/ちゃいろ
サファイア	青色/あおいろ/青紫色/あおむらさきいろ/黄色/きいろ
塩	白/しろ/真っ白/まっしろ
芝生	緑色/りょくしょく/茶色/ちゃいろ
信号	青/あお/赤/あか/黄/き
ジャガイモ	黄色/きいろ/紫色/むらさきいろ/茶色/ちゃいろ/白色/はくしょく
炭	黒/くろ/灰色/はいいろ
空	青/あお/赤/あか
太陽	金色/きんいろ/赤/あか
大根	白/しろ
血	真っ赤/まっか/赤/あか
チョコレート	ホワイト/茶色/ちゃいろ/ブラック/白/しろ/焦げ茶/こげちゃ
土	黒色/こくしょく/褐色/かっしょく/紅色/べにいろ/黄色土/きいろつち
人参	オレンジ色/オレンジしょく/赤色/せきしょく
葉っぱ	緑色/りょくしょく/茶色/ちゃいろ/黄色/きいろ
バナナ	金/きん/黄色/きいろ
バラ	白い/しろい/赤い/あかい/白/しろ/赤/あか/ピンク/青/あお/紫/むらさき
パセリ	緑色/りょくしょく
パソコン	白/しろ/黒/くろ/ピンク/シルバー
ヒマワリ	黄色/きいろ
ビール	琥珀/こはく/焦げ茶/こげちゃ/琥珀色/こはくいろ
ぶどう	紫色/むらさきいろ/緑色/りょくしょく/銅色/どうしょく
ブロッコリー	緑/みどり/緑黄色/みどりきいろ
ホウレンソウ	緑/みどり/緑色/りょくしょく/緑黄色/みどりきいろ
マグロ	ピンク/ピンク色/ピンクしょく/黄色/きいろ
桃	白色/はくしょく/ピンク/黄色い/きいろい/黄色/きいろ/赤/あか
りんご	青/あお/赤/あか/青い/あおい/赤い/あかい
林檎	青/あお/赤/あか/青い/あおい/赤い/あかい
ルビー	赤/あか
ヨーグルト	白/しろ/白色/はくしょく
雪	白/しろ/真っ白/まっしろ
