赤ちゃん	赤ん坊/あかんぼう/ベビー
椅子	チェア/椅子/いす/腰掛け/こしかけ
忙しい	慌ただしい/あわただしい/多忙/たぼう
岩	岩石/がんせき/石/いし/大石/おおいし
言う	述べる/のべる/おっしゃる/しゃべる/話す
お母さん	母/はは/母親/ははおや/母ちゃん/かあちゃん/ママ
夫	旦那/だんな/主人/しゅじん/亭主/ていしゅ
お父さん	父/ちち/父親/ちちおや/父ちゃん/とうちゃん/パパ
男	男性/だんせい/男子/だんし
女	女性/じょせい/女子/じょし/婦人/ふじん
同じ	同様/どうよう/同一/どういつ
会計	勘定/かんじょう/精算/せいさん/愛想/あいそう
買う	購入/こうにゅう/買い求める/かいもとめる
顔	フェイス/面/めん
会社	企業/きぎょう/コーポレーション
賢い	賢明/けんめい/鋭い/するどい
学生	生徒/せいと/教え子/おしえご/弟子/でし
きのこ	マッシュルーム/キノコ/茸/たけ
企業	商業/しょうぎょう/ビジネス
規定	決まり/きまり/約束/やくそく
車	自動車/じどうしゃ/カー/車両/しゃりょう
検討	考慮/こうりょ
ゲーム	遊戯/ゆうぎ/遊び/あそび
現代	現在/げんざい/今日/きょう
米	コメ/シャリ/ご飯/ごめし/白米/はくまい
殺人	殺害/さつがい/人殺し/ひとごろし/殺し/ころし/殺し屋/ころしや
砂糖	シュガー/甘料
市場	マーケット
仕事	勤務/きんむ/業務/ぎょうむ/実務/じつむ/職務/しょくむ
死ぬ	死亡/しぼう/亡く/なく/逝く/いく
自転車	サイクル/ちゃり/ちゃりんこ
食事	飯/めし/ご飯/ごめし
修正	修理/しゅうり/リペア
先生	教師/きょうし/教員/きょういん
タスク	課題/かだい/プロジェクト/任務/にんむ
食べる	召し上がる/めしあがる/いただく
机	テーブル/デスク/こたつ
妻	奥さん/おくさん/家内/かない/カミさん/女房/にょうぼう
手洗い	トレイ/便所/べんじょ/洗面所/せんめんじょ
電話	テレホン/携帯電話/けいたいでんわ
チーム	組/くみ/班/はん/グルプ
布	生地/きじ/クロス
猫	キャット/ニャンニャン/にゃんこ/にゃんにゃん/ねんねこ/ニャンちゃん/ネコ
飲み物	飲料/いんりょう/飲物/のみもの
花	華/はな/フラワー
犯人	犯罪者/はんざいしゃ/犯罪人/はんざいにん
飛行機	航空機/こうくうき/エアプレイン
勉強	勉学/べんがく/学習/がくしゅう
両親	親/おや/父母/ふぼ
野菜	ベジタブル/ベジ
